OBJECTID,Freeway,1km_radius,ROAD_GEOMETRY
3463060,1.0,N,T intersection
3463060,1.0,N,T intersection
3463098,,N,Not at intersection
3463098,,N,Not at intersection
3463141,,N,Not at intersection
3463141,,N,Not at intersection
3463359,,N,T intersection
3463542,1.0,N,Not at intersection
3463542,1.0,N,Not at intersection
3463749,,N,Cross intersection
3463749,,N,Cross intersection
3464126,,N,Not at intersection
3464126,,N,Not at intersection
3464194,,N,Cross intersection
3464320,1.0,Y,Cross intersection
3464320,1.0,N,Cross intersection
3464320,1.0,N,Cross intersection
3464502,,Y,Multiple intersection
3465340,,Y,Cross intersection
3465340,,N,Cross intersection
3465382,1.0,N,Not at intersection
3465382,1.0,N,Not at intersection
3465382,1.0,N,Not at intersection
3465542,,N,Not at intersection
3465773,,Y,Not at intersection
3465773,,N,Not at intersection
3465874,,N,Not at intersection
3465911,,N,Not at intersection
3465969,,Y,Cross intersection
3465969,,N,Cross intersection
3466051,,N,Not at intersection
3466100,1.0,Y,Not at intersection
3466100,1.0,N,Not at intersection
3466385,,N,Not at intersection
3466385,,N,Not at intersection
3466426,,N,Not at intersection
3466537,,N,Not at intersection
3466537,,N,Not at intersection
3466762,1.0,N,Not at intersection
3467040,,Y,Not at intersection
3467040,,Y,Not at intersection
3467188,,N,Not at intersection
3467208,1.0,Y,T intersection
3467208,1.0,N,T intersection
3467208,1.0,N,T intersection
