LGA,LGA Code,Departmental Region,City_Regional,Index of Relative Socio-Economic Disadvantage (IRSD),Index of Relative Socio-Economic Disadvantage (IRSD) (rank),Percentage of highly disadvantaged SA1s,Percentage of highly disadvantaged SA1s (rank),People with income less than $400 per week,People with income less than $400 per week (rank),Median household income,Median household income (rank),Median house price,Median house price (rank),Journeys to work which are by car,Journeys to work which are by car (rank),People with at least 2 hour daily commute,People with at least 2 hour daily commute (rank),People at increased risk of alcohol-related harm on a single occasion of drinking,People at increased risk of alcohol-related harm on a single occasion of drinking (rank),People reporting fair or poor health status,People reporting fair or poor health status (rank),"Clients that received Alcohol & Drug Treatment Services per 1,000 population","Clients that received Alcohol & Drug Treatment Services per 1,000 population (rank)",Total_pop,total_crashes,total_inj,inj_fatal,fatal,serious,minor,no_inj,alcohol,male,female,old_driver,young_driver,crash_per_person
STONNINGTON,26350,Southern Metropolitan,Metro,1084,76,0.023,74,0.284,78,1722,4,1450000,2,0.488,74,0.034,52,0.54,13,0.139,49,3.5,57,103831,1407,3275,1606,7,406,1193,1669,32.0,1834,1270,90,347,0.013550866311602508
STRATHBOGIE,26430,Hume,Regional,970,23,0.281,27,0.452,18,843,65,246000,57,0.645,50,0.0,0,0.43,58,0.155,35,3.5,58,10272,205,438,297,15,138,144,141,9.0,265,163,13,51,0.019957165109034267
SURF COAST,26490,Barwon-South Western,Regional,1066,73,0.048,68,0.363,71,1277,24,599000,20,0.69,37,0.161,15,0.597,2,0.1,69,3.0,65,29402,391,835,501,15,177,309,334,17.0,490,308,25,112,0.013298415073804503
SWAN HILL,26610,Loddon Mallee,Regional,950,10,0.35,21,0.433,29,886,58,202938,65,0.706,28,0.032,56,0.525,20,0.161,33,9.1,10,20587,217,514,311,11,97,203,203,20.0,289,209,26,60,0.010540632437946278
TOWONG,26670,Hume,Regional,996,42,0.21100000000000002,41,0.45399999999999996,15,850,62,170000,71,0.604,62,0.073,38,0.5539999999999999,9,0.11199999999999999,65,0.0,0,5986,148,221,183,4,77,102,38,5.0,158,58,3,23,0.024724356832609422
WANGARATTA,26700,Hume,Regional,981,30,0.20800000000000002,42,0.423,35,913,52,251000,53,0.705,29,0.0,0,0.435,55,0.09300000000000001,75,2.5,69,28310,299,582,404,16,132,256,178,15.0,347,218,32,75,0.010561638996820912
WARRNAMBOOL,26730,Barwon-South Western,Regional,989,37,0.175,49,0.397,56,1025,40,318500,42,0.759,4,0.0,0,0.5710000000000001,5,0.106,67,10.5,7,33655,269,668,327,3,97,227,341,14.0,340,300,23,96,0.007992868815926311
WELLINGTON,26810,Gippsland,Regional,974,25,0.311,24,0.44,25,905,55,230000,60,0.682,43,0.032,56,0.525,21,0.132,55,6.8,19,42986,604,1154,800,24,266,510,354,42.0,742,378,32,143,0.01405108640022333
WEST WIMMERA,26890,Grampians,Regional,986,33,0.188,46,0.429,33,815,70,90000,78,0.519,73,0.0,0,0.535,17,0.19899999999999998,8,3.5,56,3905,53,114,88,2,43,43,26,1.0,69,41,2,14,0.01357234314980794
WHITEHORSE,26980,Eastern Metropolitan,Metro,1051,69,0.03,70,0.40399999999999997,49,1317,18,822444,10,0.622,59,0.10300000000000001,27,0.435,54,0.136,52,3.4,59,162080,1291,3348,1603,16,377,1210,1745,31.0,1699,1498,119,438,0.007965202369200395
WHITTLESEA,27070,Northern Metropolitan,Metro,989,38,0.322,22,0.428,34,1275,25,411550,27,0.7490000000000001,7,0.17800000000000002,9,0.305,75,0.228,4,3.8,51,197490,1759,4602,2318,21,608,1689,2284,55.0,2524,1853,83,665,0.008906780090131145
WODONGA,27170,Hume,Regional,975,26,0.376,17,0.373,67,1075,35,304000,46,0.758,5,0.0,0,0.531,18,0.11800000000000001,63,3.4,60,39347,267,600,350,9,93,248,250,3.0,306,265,19,93,0.006785777822959819
WYNDHAM,27260,Western Metropolitan,Metro,1013,55,0.193,45,0.369,69,1424,9,375000,32,0.721,20,0.262,1,0.34700000000000003,73,0.174,21,4.4,45,217118,1385,3521,1737,25,460,1252,1784,45.0,1999,1313,46,490,0.00637901970357133
YARRA,27350,Northern Metropolitan,Metro,1019,57,0.121,55,0.292,77,1680,5,950000,6,0.366,78,0.034,52,0.551,12,0.14800000000000002,43,7.3,14,86652,1564,3486,1722,6,431,1285,1764,19.0,1964,1299,35,280,0.018049208327563127
YARRA RANGES,27450,Eastern Metropolitan,Metro,1037,63,0.07200000000000001,62,0.37799999999999995,59,1281,23,445000,25,0.723,19,0.175,10,0.44799999999999995,47,0.152,37,6.4,23,149542,1860,4050,2413,34,741,1638,1637,82.0,2268,1578,124,565,0.012437977290660818
YARRIAMBIACK,27630,Grampians,Regional,952,14,0.429,12,0.478,8,773,74,102500,76,0.624,58,0.0,0,0.469,34,0.267,2,5.1,38,6675,45,76,62,3,20,39,14,1.0,49,26,5,13,0.006741573033707865
