At The Intersection Of Dandenong Road And Kooyong Road Armadale - Lane 4 5|379|118420|-37.86253|145.019308|3VWU4FIWwd8|NA|0
At The Intersection Of Dandenong Road And Orrong Road Caulfield North - Lane 1 2|534|168243|-37.860536|145.010954|bq2z-lrle7M|NA|0
At The Intersection Of Dandenong Road And Orrong Road Caulfield North - Lane 3 4 5|2725|968203|-37.86039|145.010901|bq2z-lrle7M|NA|0
At The Intersection Of Dandenong Road And Warrigal Road Malvern East - Lane 1 2 3|127|37585|-37.892694|145.087853|nK1_ssVoXig|NA|0
At The Intersection Of Dandenong Road And Warrigal Road Malvern East - Lane 4 5 6|4561|1816010|-37.89294|145.087797|nK1_ssVoXig|NA|0
At The Intersection Of Dandenong-Frankston Road And Skye Road Frankston - Lane 1 2 3|5436|1356314|-38.128269|145.134382|V-gBp1U_-i8|NA|0
At The Intersection Of Denmark Street And Barkers Road Kew - Lane 1 2 3|1050|338723|-37.813369|145.028029|c3nTAA3dFQA|NA|0
At The Intersection Of Denmark Street And High Street South Kew - Lane 1 2 3 4|554|197460|-37.807961|145.028796|TyNX4j5wgUg|NA|0
At The Intersection Of Doncaster Road And Gardenia Road Balwyn North - Lane 1 2 3|5502|1382719|-37.789904|145.099544|m2wqPhvMfWY|NA|0
At The intersection Of Dorset Road And Canterbury Road Bayswater North - Lane 1 2|0|0|-37.825802|145.287694|MKW-gBW3f_U|NA|0
At The intersection Of Dorset Road And Canterbury Road Bayswater North - Lane 3 4 5|0|0|-37.825808|145.28761|MKW-gBW3f_U|NA|0
At The Intersection Of Duke Street And Ballarat Road Braybrook - Lane 1 2 3 4|1803|568767|-37.778869|144.847246|D8w7KNiMfUw|NA|0
At The Intersection Of Elgar Road And Arnold Street Box Hill - Lane 1 2|1001|290835|-37.813684|145.115701|vLKehNGhN5o|NA|0
At The Intersection Of Elizabeth Street And La Trobe Street Melbourne - Lane 1 2|1528|610329|-37.809981|144.96134|KNjqkJurThU|NA|0
At The Intersection Of Elizabeth Street And Victoria Street Melbourne - Lane 1 2 3|1368|547133|-37.805909|144.959465|JKmEtUvLM8w|NA|0
At The Intersection Of Epsom Road And Smithfield Road Kensington - Lane 1 2 3|4392|1751358|-37.788832|144.922754|k3YyoPHnYKo|NA|0
At The Intersection Of Exhibition Street And Victoria Street Melbourne - Lane 1 2 3|7305|1776285|-37.807574|144.968631|UpgcVpgHkRA|NA|0
At The Intersection Of Ferntree Gully Road And Stephensons Road Mount Waverley - Wet Film|53|21782|-37.899072|145.124181|flRK02RiWn0|NA|0
At The Intersection Of Fifteenth Street And San Mateo Avenue Mildura - Lane 1 2 3 4|1087|329858|-34.210599|142.141236|N|NA|0
At The Intersection Of Fitzroy Street And Lakeside Drive St Kilda - Lane 1 2 3|32302|7995049|-37.858055|144.97991|bfcwV_YpdkA|NA|0
At The Intersection Of Fitzroy Street And Princes Street St Kilda - Lane 1 2 3|1140|455410|-37.857947|144.980702|9VTukN0GYJQ|NA|0
At The Intersection Of Flemington Road And Gatehouse Street Parkville - Lane 1 2 3|594|174535|-37.796267|144.950959|pyFkRMr5gxo|NA|0
At The Intersection Of Flinders Street And William Street Melbourne - Lane 1 2 3|21308|5812803|-37.819628|144.96032|iBD_tQ70EfQ|NA|0
At The Intersection Of Foster Street And McCrae Street Dandenong - Lane 1 2 3|2179|692273|-37.988505|145.218436|Qw2W1mDlZJ8|NA|0
At The Intersection Of Francis Street And Wembley Avenue Yarraville - Lane 1 2|2540|654349|-37.819388|144.874247|rBuu_2R9_2c|NA|0
