LGA Name,LGA Code,Departmental Region,City_Regional,Index of Relative Socio-Economic Disadvantage (IRSD),Index of Relative Socio-Economic Disadvantage (IRSD) (rank),Percentage of highly disadvantaged SA1s,Percentage of highly disadvantaged SA1s (rank),People with income less than $400 per week,People with income less than $400 per week (rank),Median household income,Median household income (rank),Median house price,Median house price (rank),Journeys to work which are by car,Journeys to work which are by car (rank),People with at least 2 hour daily commute,People with at least 2 hour daily commute (rank),People at increased risk of alcohol-related harm on a single occasion of drinking,People at increased risk of alcohol-related harm on a single occasion of drinking (rank),People reporting fair or poor health status,People reporting fair or poor health status (rank),"Clients that received Alcohol & Drug Treatment Services per 1,000 population","Clients that received Alcohol & Drug Treatment Services per 1,000 population (rank)",Total_pop
MOORABOOL,25150,Grampians,Regional,1008,52,0.107,56,0.411,44,1183,30,337750,39,0.719,21,0.187,8,0.537,16,0.122,61,3.1,64,31820
MORELAND,25250,Northern Metropolitan,Metro,998,47,0.212,39,0.409,45,1215,28,630000,16,0.526,72,0.071,39,0.438,53,0.182,16,5.1,34,162564
MORNINGTON PENINSULA,25340,Southern Metropolitan,Metro,1023,58,0.159,52,0.395,57,1054,37,523334,23,0.727,16,0.143,18,0.529,19,0.13,57,4.9,39,154996
MOUNT ALEXANDER,25430,Loddon Mallee,Regional,983,32,0.216,37,0.45,20,838,66,345000,37,0.642,54,0.097,30,0.432,57,0.136,51,6.5,22,18762
MOYNE,25490,Barwon-South Western,Regional,1017,56,0.096,59,0.397,54,1040,39,315000,43,0.596,63,0.041,50,0.552,11,0.14,48,4,48,16499
MURRINDINDI,25620,Hume,Regional,997,45,0.175,49,0.444,23,917,50,230000,60,0.644,51,0.124,23,0.587,3,0.178,19,3.2,63,13730
NILLUMBIK,25710,Northern Metropolitan,Metro,1098,79,0,76,0.337,74,1872,2,617000,18,0.709,26,0.165,14,0.555,8,0.094,74,2.4,72,61274
NORTHERN GRAMPIANS,25810,Grampians,Regional,938,6,0.472,7,0.46,12,815,70,165000,73,0.684,42,0.033,55,0.457,40,0.168,29,12,3,11436
PORT PHILLIP,25900,Southern Metropolitan,Metro,1066,72,0.055,66,0.241,79,1672,6,1182500,4,0.457,76,0.05,44,0.553,10,0.111,66,5.9,27,100863
PYRENEES,25990,Grampians,Regional,940,8,0.476,6,0.519,3,732,77,195000,67,0.639,56,0,0,0.458,39,0.172,25,4,49,7240
QUEENSCLIFFE,26080,Barwon-South Western,Regional,1053,70,0,76,0.349,72,1022,42,750000,11,0.621,60,0,0,0.599,1,0.084,79,2,76,2854
SHEPPARTON,22830,Hume,Regional,952,13,0.395,13,0.413,42,980,45,249000,55,0.76,3,0.024,59,0.497,25,0.151,39,7.5,12,63839
SOUTH GIPPSLAND,26170,Gippsland,Regional,1000,48,0.164,51,0.435,28,920,49,260000,51,0.644,52,0.039,51,0.419,62,0.118,62,4.5,43,28700
SOUTHERN GRAMPIANS,26260,Barwon-South Western,Regional,994,41,0.18,48,0.417,40,908,54,180000,69,0.664,46,0.046,48,0.493,27,0.096,73,5.1,36,15941
STONNINGTON,26350,Southern Metropolitan,Metro,1084,76,0.023,74,0.284,78,1722,4,1450000,2,0.488,74,0.034,52,0.54,13,0.139,49,3.5,57,103831
STRATHBOGIE,26430,Hume,Regional,970,23,0.281,27,0.452,18,843,65,246000,57,0.645,50,0,0,0.43,58,0.155,35,3.5,58,10272
SURF COAST,26490,Barwon-South Western,Regional,1066,73,0.048,68,0.363,71,1277,24,599000,20,0.69,37,0.161,15,0.597,2,0.1,69,3,65,29402
SWAN HILL,26610,Loddon Mallee,Regional,950,10,0.35,21,0.433,29,886,58,202938,65,0.706,28,0.032,56,0.525,20,0.161,33,9.1,10,20587
TOWONG,26670,Hume,Regional,996,42,0.211,41,0.454,15,850,62,170000,71,0.604,62,0.073,38,0.554,9,0.112,65,0,0,5986
WANGARATTA,26700,Hume,Regional,981,30,0.208,42,0.423,35,913,52,251000,53,0.705,29,0,0,0.435,55,0.093,75,2.5,69,28310
WARRNAMBOOL,26730,Barwon-South Western,Regional,989,37,0.175,49,0.397,56,1025,40,318500,42,0.759,4,0,0,0.571,5,0.106,67,10.5,7,33655
WELLINGTON,26810,Gippsland,Regional,974,25,0.311,24,0.44,25,905,55,230000,60,0.682,43,0.032,56,0.525,21,0.132,55,6.8,19,42986
WEST WIMMERA,26890,Grampians,Regional,986,33,0.188,46,0.429,33,815,70,90000,78,0.519,73,0,0,0.535,17,0.199,8,3.5,56,3905
WHITEHORSE,26980,Eastern Metropolitan,Metro,1051,69,0.03,70,0.404,49,1317,18,822444,10,0.622,59,0.103,27,0.435,54,0.136,52,3.4,59,162080
WHITTLESEA,27070,Northern Metropolitan,Metro,989,38,0.322,22,0.428,34,1275,25,411550,27,0.749,7,0.178,9,0.305,75,0.228,4,3.8,51,197490
WODONGA,27170,Hume,Regional,975,26,0.376,17,0.373,67,1075,35,304000,46,0.758,5,0,0,0.531,18,0.118,63,3.4,60,39347
WYNDHAM,27260,Western Metropolitan,Metro,1013,55,0.193,45,0.369,69,1424,9,375000,32,0.721,20,0.262,1,0.347,73,0.174,21,4.4,45,217118
YARRA,27350,Northern Metropolitan,Metro,1019,57,0.121,55,0.292,77,1680,5,950000,6,0.366,78,0.034,52,0.551,12,0.148,43,7.3,14,86652
YARRA RANGES,27450,Eastern Metropolitan,Metro,1037,63,0.072,62,0.378,59,1281,23,445000,25,0.723,19,0.175,10,0.448,47,0.152,37,6.4,23,149542
YARRIAMBIACK,27630,Grampians,Regional,952,14,0.429,12,0.478,8,773,74,102500,76,0.624,58,0,0,0.469,34,0.267,2,5.1,38,6675
