SEX_ABS,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sum of Value,Column Labels,,,,,,,,,,,,,,,,,,
Row Labels,100 and over,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 94,95 - 99,Grand Total
Surf Coast (S),8,1647,1201,1276,1653,1905,2208,2182,2039,2060,2029,1886,1306,832,553,351,176,38,23350
Swan Hill (RC),9,1275,1190,1272,1245,1158,1147,1294,1411,1460,1305,1169,876,737,540,345,168,42,16643
Towong (S),0,328,213,218,239,255,312,392,488,526,511,506,404,252,178,121,57,22,5022
Unincorporated Vic,0,37,103,124,90,67,72,51,33,38,44,30,22,11,7,0,0,0,729
Wangaratta (RC),10,1641,1300,1256,1392,1509,1784,1873,1987,2088,2004,1879,1534,1135,826,619,300,68,23205
Warrnambool (C),3,2249,2220,2153,1907,1903,2019,2263,2218,2194,2063,1924,1471,1105,889,607,284,74,27546
Wellington (S),4,2517,2137,2284,2569,2385,2556,2751,2982,3250,3247,3041,2050,1539,1011,663,285,84,35355
West Wimmera (S),3,211,149,173,181,155,201,270,327,314,286,301,218,187,124,77,40,10,3227
Whitehorse (C),35,10350,13115,11711,11137,10415,11218,11343,9917,9295,8036,7391,6219,5417,4307,3181,1435,313,134835
Whittlesea (C),21,11604,13528,15752,17945,15544,13878,12806,11612,10345,9099,7924,5609,4211,3090,1590,616,132,155306
Wodonga (C),3,2683,2697,2769,2648,2441,2417,2537,2508,2426,2266,1967,1420,1030,691,481,221,45,31250
Wyndham (C),10,12735,13376,17427,23462,20486,16134,13723,11700,9842,8084,6444,4067,2716,1671,954,394,83,163308
Yarra (C),3,2717,7045,14119,12404,8062,5972,5279,4559,4167,3560,3132,2168,1541,1179,701,293,74,76975
Yarra Ranges (S),21,9760,8912,8796,9088,9241,10517,10947,10783,10459,9243,8417,6034,3895,2459,1665,685,167,121089
Yarriambiack (S),3,366,283,293,273,255,303,420,512,575,514,504,422,324,249,210,103,17,5626
Grand Total,1150,356320,413789,441263,447918,404030,401896,402070,378365,357630,319816,291411,218200,165134,119917,81256,36737,8836,4845738
